timestamp,tx_id,source_acc,dest_acc,amount,channel,location,device_id,is_fraud,risk_score
2026-07-09T06:56:42.866243,TX-A3E4E2CF,ACC-507185,ACC-671287,239783.84,UPI,Mumbai,DEV-0CA765,0,28.37
2026-07-08T05:02:42.866243,TX-2FD8ADFA,ACC-537376,ACC-980871,242225.78,IMPS,New York,DEV-494998,0,10.12
2026-07-06T05:29:42.866243,TX-8908E6F4,ACC-983595,ACC-391545,904105.93,NEFT,Singapore,DEV-421192,0,34.91
2026-07-09T17:49:42.866243,TX-15A3565C,ACC-408506,ACC-783510,122973.89,NEFT,Hyderabad,DEV-6395D6,0,23.4
2026-07-10T13:13:42.866243,TX-672EE5A2,ACC-217622,ACC-236601,71079.51,NEFT,New York,DEV-C2E9D5,0,26.12
2026-07-06T21:50:42.866243,TX-6ECA9A0A,ACC-144862,ACC-707167,113971.36,IMPS,Hyderabad,DEV-546D32,0,14.45
2026-07-06T02:31:42.866243,TX-A26CD091,ACC-363422,ACC-508011,306734.18,IMPS,Singapore,DEV-3D2B38,0,28.44
2026-07-06T02:50:42.866243,TX-4883245E,ACC-316895,ACC-769532,754397.1,Credit Card,Hyderabad,DEV-894270,0,16.39
2026-07-06T14:44:42.866243,TX-6D129145,ACC-139050,ACC-945996,425183.37,Credit Card,Kolkata,DEV-797505,0,25.33
2026-07-08T09:18:42.866243,TX-903F16B5,ACC-165204,ACC-492469,374498.48,IMPS,Bengaluru,DEV-9992F6,0,25.16
2026-07-06T03:51:42.866243,TX-64A9585A,ACC-794482,ACC-547095,833434.57,Credit Card,Kolkata,DEV-B536D1,0,12.71
2026-07-08T02:24:42.866243,TX-15E6AF9C,ACC-982474,ACC-153756,73979.47,NEFT,Kolkata,DEV-D73EA0,0,17.69
2026-07-08T08:41:42.866243,TX-C7F72BF0,ACC-521193,ACC-275435,239159.24,Credit Card,Singapore,DEV-9CA826,0,13.65
2026-07-08T05:12:42.866243,TX-F6243158,ACC-994251,ACC-245956,374742.51,Internet Banking,Hyderabad,DEV-091C49,0,6.55
2026-07-06T02:48:42.866243,TX-687F1B4A,ACC-675173,ACC-390051,632174.56,RTGS,Kolkata,DEV-F0C287,0,9.35
2026-07-08T07:48:42.866243,TX-13FEDA44,ACC-125607,ACC-713426,707068.22,NEFT,Hyderabad,DEV-8A4117,0,19.81
2026-07-09T02:10:42.866243,TX-FF7F5CAA,ACC-329494,ACC-583556,968260.26,Internet Banking,Pune,DEV-E3DDCA,0,33.47
2026-07-08T03:25:42.866243,TX-FE6B7E5F,ACC-253074,ACC-320471,375505.07,Mobile Banking,Delhi,DEV-0391E6,0,27.01
2026-07-06T06:42:42.866243,TX-52DA5E42,ACC-366979,ACC-550743,595401.7,RTGS,Singapore,DEV-1526D0,0,13.66
2026-07-09T22:51:42.866243,TX-18437B67,ACC-750025,ACC-477946,210717.3,ATM,Mumbai,DEV-9D1C5C,0,15.76
2026-07-09T22:40:42.866243,TX-AD37B605,ACC-643423,ACC-591340,268225.85,NEFT,New York,DEV-C95494,0,30.69
2026-07-07T17:33:42.866243,TX-FE3A8040,ACC-688847,ACC-682864,288846.75,Internet Banking,Mumbai,DEV-D003FA,0,9.14
2026-07-11T10:46:42.866243,TX-BE3D4C1A,ACC-558723,ACC-371137,696757.02,Mobile Banking,Mumbai,DEV-50114B,0,19.74
2026-07-05T10:51:42.866243,TX-8C343CDC,ACC-890282,ACC-995253,656398.67,ATM,London,DEV-9F106A,0,63.6
2026-07-05T09:25:42.866243,TX-AF71F5D1,ACC-663457,ACC-376041,230199.64,Credit Card,Kolkata,DEV-E5119A,0,6.51
2026-07-07T10:28:42.866243,TX-7FDF4087,ACC-738375,ACC-646716,87472.08,Mobile Banking,Singapore,DEV-4A6E36,0,7.57
2026-07-09T07:21:42.866243,TX-EF42B2DF,ACC-738099,ACC-726197,436150.82,ATM,Singapore,DEV-344F44,0,5.14
2026-07-06T22:24:42.866243,TX-7427E323,ACC-134215,ACC-435028,948860.34,ATM,New York,DEV-36204C,0,7.21
2026-07-11T05:53:42.866243,TX-4F461EDF,ACC-230263,ACC-838698,224223.62,UPI,Pune,DEV-B0089E,0,20.25
2026-07-09T06:16:42.866243,TX-84C81ECC,ACC-806900,ACC-179068,663514.7,ATM,Mumbai,DEV-FE9C6F,0,10.04
2026-07-07T14:43:42.866243,TX-0747BA07,ACC-239143,ACC-485172,914138.03,Mobile Banking,New York,DEV-88A2D5,0,27.79
2026-07-08T19:50:42.866243,TX-04A7EAA3,ACC-337746,ACC-752623,20614.65,RTGS,Hyderabad,DEV-95E675,0,28.61
2026-07-06T17:41:42.866243,TX-76FC4FE7,ACC-395212,ACC-475228,813041.52,Credit Card,Bengaluru,DEV-A77962,1,80.09
2026-07-06T23:15:42.866243,TX-2DA46108,ACC-215461,ACC-592768,60504.38,IMPS,Mumbai,DEV-A310ED,0,30.28
2026-07-08T08:41:42.866243,TX-E9E31A16,ACC-464618,ACC-934157,751076.48,NEFT,Kolkata,DEV-0F1943,0,9.06
2026-07-08T02:21:42.866243,TX-3C80F680,ACC-901058,ACC-263657,199333.12,NEFT,Pune,DEV-F3CE96,0,20.5
2026-07-10T04:15:42.866243,TX-67AF2B79,ACC-289754,ACC-119778,519880.59,Internet Banking,Hyderabad,DEV-390B8E,0,18.25
2026-07-09T12:19:42.866243,TX-136A1FB4,ACC-728059,ACC-717044,697726.94,RTGS,Bengaluru,DEV-9BF75B,0,7.37
2026-07-10T23:40:42.866243,TX-F8C80CB9,ACC-893066,ACC-112610,477129.77,Mobile Banking,London,DEV-E88D73,0,20.88
2026-07-04T23:08:42.866243,TX-71A58259,ACC-253461,ACC-360202,871744.09,NEFT,Bengaluru,DEV-CE2F18,0,26.12
2026-07-09T22:01:42.866243,TX-0BD5459B,ACC-764375,ACC-137497,494761.03,RTGS,Bengaluru,DEV-3909C2,0,28.37
2026-07-05T23:23:42.866243,TX-D50E1962,ACC-802538,ACC-717976,599994.48,Credit Card,New York,DEV-221DB2,0,21.29
2026-07-10T14:14:42.866243,TX-9D50EB2B,ACC-668865,ACC-493172,585866.17,Credit Card,Delhi,DEV-A43C56,0,33.55
2026-07-07T03:39:42.866243,TX-32C557C6,ACC-557007,ACC-363896,588919.71,NEFT,Singapore,DEV-3782FD,0,17.97
2026-07-05T19:57:42.866243,TX-055E1087,ACC-859768,ACC-684550,138854.13,Mobile Banking,Pune,DEV-25D9EC,0,17.21
2026-07-07T03:56:42.866243,TX-6775E019,ACC-683922,ACC-522909,408459.4,Internet Banking,Pune,DEV-A853E9,0,28.81
2026-07-10T03:46:42.866243,TX-A43A6D10,ACC-375491,ACC-462963,597632.12,NEFT,New York,DEV-9C0D08,0,20.06
2026-07-06T02:39:42.866243,TX-CC81574E,ACC-838248,ACC-505607,975399.29,Mobile Banking,Delhi,DEV-FC7B2F,0,26.65
2026-07-08T12:55:42.866243,TX-B4AAD0DA,ACC-889501,ACC-475099,549571.05,NEFT,Pune,DEV-03E29F,0,20.99
2026-07-11T11:10:42.866243,TX-C5B7FF23,ACC-361928,ACC-610791,475562.62,RTGS,Mumbai,DEV-C8B818,0,15.29
2026-07-08T16:28:42.866243,TX-641AE79A,ACC-203031,ACC-775376,613775.25,Internet Banking,London,DEV-989ED9,0,14.26
2026-07-10T02:22:42.866243,TX-FDBE1C3D,ACC-637287,ACC-753821,510315.12,Internet Banking,London,DEV-BDF6E8,0,29.75
2026-07-06T09:34:42.866243,TX-2633BD65,ACC-112062,ACC-432927,981493.63,ATM,Mumbai,DEV-C0DEB8,0,18.08
2026-07-07T05:01:42.866243,TX-331A4751,ACC-754507,ACC-483022,539395.19,Mobile Banking,Bengaluru,DEV-58B7CE,0,19.81
2026-07-05T09:40:42.866243,TX-CBEBE88A,ACC-172042,ACC-742574,725175.83,NEFT,Singapore,DEV-4D3748,0,29.43
2026-07-05T13:13:42.866243,TX-F12DCC3A,ACC-137721,ACC-837694,832145.68,NEFT,Mumbai,DEV-86CA03,0,23.12
2026-07-06T02:15:42.866243,TX-6F54EE84,ACC-652548,ACC-836598,479589.75,Internet Banking,London,DEV-4EF8B4,0,7.82
2026-07-08T10:08:42.866243,TX-85C0EEE0,ACC-533716,ACC-506573,826523.12,Credit Card,New York,DEV-A1CC98,0,25.19
2026-07-07T14:38:42.866243,TX-24FE1D6F,ACC-996843,ACC-661941,725412.54,UPI,Pune,DEV-84DEA6,0,7.44
2026-07-06T19:05:42.866243,TX-3BC895D8,ACC-184608,ACC-603936,317519.78,Mobile Banking,London,DEV-1EE122,0,12.15
2026-07-09T03:03:42.866243,TX-C7FD4D10,ACC-509975,ACC-716868,236033.97,Internet Banking,Delhi,DEV-8BBEA1,0,7.43
2026-07-05T03:50:42.866243,TX-18DC746E,ACC-838391,ACC-163038,247210.11,RTGS,Hyderabad,DEV-F2473E,0,27.24
2026-07-11T13:52:42.866243,TX-92740DEF,ACC-323021,ACC-296702,64133.65,IMPS,Mumbai,DEV-4EE917,0,9.46
2026-07-11T12:42:42.866243,TX-3BEB2AC0,ACC-651663,ACC-659843,484885.95,IMPS,Hyderabad,DEV-6972F5,0,8.37
2026-07-10T19:47:42.866243,TX-7DE8515C,ACC-429142,ACC-365782,292268.22,NEFT,Mumbai,DEV-DECA60,0,25.11
2026-07-10T08:02:42.866243,TX-CAF44703,ACC-282744,ACC-597280,415209.58,Mobile Banking,Hyderabad,DEV-4C5AA9,0,33.91
2026-07-05T17:49:42.866243,TX-C55C9BBA,ACC-145767,ACC-606992,418571.26,ATM,London,DEV-7A01F2,0,22.23
2026-07-08T17:09:42.866243,TX-9A5FA8D9,ACC-444946,ACC-355738,396570.19,Credit Card,Delhi,DEV-7CADB1,0,32.97
2026-07-05T16:16:42.866243,TX-CB36D0A9,ACC-766698,ACC-593223,418908.36,ATM,Delhi,DEV-0B4A37,0,34.09
2026-07-09T12:21:42.866243,TX-C22DD016,ACC-467748,ACC-479576,694267.61,NEFT,Delhi,DEV-A582C4,0,13.54
2026-07-06T11:58:42.866243,TX-BC7CA74A,ACC-800825,ACC-817187,29775.07,RTGS,Pune,DEV-E8CC10,0,7.62
2026-07-11T05:31:42.866243,TX-F623F83F,ACC-250956,ACC-616658,370337.67,NEFT,Delhi,DEV-6ECF05,0,24.92
2026-07-10T07:13:42.866243,TX-1E761531,ACC-290520,ACC-674975,814182.38,Credit Card,Delhi,DEV-49508C,0,18.88
2026-07-06T10:25:42.866243,TX-60FF4309,ACC-836548,ACC-168516,634501.05,Internet Banking,New York,DEV-F40127,0,68.77
2026-07-09T11:49:42.866243,TX-944554E2,ACC-920086,ACC-115132,424380.34,RTGS,Mumbai,DEV-C837D9,0,18.49
2026-07-09T07:45:42.866243,TX-1E373A5E,ACC-671989,ACC-626423,263713.59,RTGS,Pune,DEV-87AA45,0,11.86
2026-07-10T04:08:42.866243,TX-272032D6,ACC-104761,ACC-102066,850203.01,Internet Banking,Pune,DEV-EF30E2,0,33.26
2026-07-09T14:57:42.866243,TX-F9DB49F8,ACC-477994,ACC-479429,764568.39,UPI,New York,DEV-E7860E,0,23.8
2026-07-11T04:03:42.866243,TX-6A748F9D,ACC-587437,ACC-761082,76008.36,Credit Card,New York,DEV-2E66E3,0,17.91
2026-07-10T17:54:42.866243,TX-0B236E65,ACC-404538,ACC-701468,635461.69,UPI,Hyderabad,DEV-EF4289,0,11.71
2026-07-06T01:00:42.866243,TX-060CEDA4,ACC-342040,ACC-942903,191158.02,Credit Card,Delhi,DEV-EB31E7,0,32.95
2026-07-06T08:40:42.866243,TX-5F22CB4E,ACC-313134,ACC-907411,663031.07,ATM,Kolkata,DEV-00462F,0,34.3
2026-07-09T19:16:42.866243,TX-CACB3E94,ACC-469280,ACC-599185,246017.46,Mobile Banking,New York,DEV-A55836,0,5.93
2026-07-09T05:37:42.866243,TX-3A6EE4AB,ACC-334902,ACC-747107,410955.47,Credit Card,New York,DEV-BECC7F,0,25.44
2026-07-09T08:57:42.866243,TX-46AADAC3,ACC-532776,ACC-203699,414275.08,Internet Banking,Pune,DEV-41C6B6,0,29.34
2026-07-07T15:03:42.866243,TX-F718A5A1,ACC-436908,ACC-980376,209488.66,Credit Card,New York,DEV-ADFD4A,0,16.86
2026-07-10T00:52:42.866243,TX-307A1905,ACC-714598,ACC-129747,932954.52,NEFT,Singapore,DEV-654C80,0,26.37
2026-07-10T22:58:42.866243,TX-D85F7F1B,ACC-457671,ACC-371630,663592.24,ATM,New York,DEV-3208D6,0,26.41
2026-07-07T18:20:42.866243,TX-90401572,ACC-844200,ACC-188516,471348.65,Mobile Banking,New York,DEV-B6A419,0,9.51
2026-07-08T12:11:42.866243,TX-9FF767A8,ACC-845470,ACC-390133,353161.93,Internet Banking,Hyderabad,DEV-3C5957,0,7.57
2026-07-08T09:24:42.866243,TX-FCC4260D,ACC-434234,ACC-826988,965541.27,Internet Banking,Singapore,DEV-309291,1,85.39
2026-07-10T04:51:42.866243,TX-01B2A941,ACC-358581,ACC-400753,749420.24,NEFT,Mumbai,DEV-6AD16A,0,11.6
2026-07-11T22:12:42.866243,TX-31DFBFF9,ACC-268954,ACC-824531,775569.65,ATM,Singapore,DEV-B191FD,0,33.74
2026-07-08T09:57:42.866243,TX-5102042F,ACC-641561,ACC-720441,154995.64,Internet Banking,New York,DEV-BB4FA4,0,63.21
2026-07-07T00:49:42.866243,TX-6DB32DF2,ACC-339706,ACC-358741,380435.49,UPI,Pune,DEV-6A2B11,0,24.72
2026-07-05T07:32:42.866243,TX-386B82FB,ACC-934255,ACC-182632,903711.55,Credit Card,Mumbai,DEV-0DA949,0,5.63
2026-07-09T08:22:42.866243,TX-EAE945E5,ACC-654927,ACC-145973,97522.61,Mobile Banking,London,DEV-FBE329,0,71.26
2026-07-06T10:17:42.866243,TX-0B106225,ACC-357046,ACC-456305,713038.6,UPI,Pune,DEV-AA068F,0,7.26
2026-07-07T08:32:42.866243,TX-4C36E688,ACC-697253,ACC-262234,495104.03,IMPS,Bengaluru,DEV-58753F,0,22.0
2026-07-07T22:27:42.866243,TX-06DDE2A2,ACC-905187,ACC-971641,806332.11,Internet Banking,Bengaluru,DEV-FA67D1,0,28.18
2026-07-10T00:04:42.866243,TX-1BA60141,ACC-161623,ACC-595864,720569.09,RTGS,Singapore,DEV-F808C1,0,24.81
2026-07-08T12:47:42.866243,TX-2665027F,ACC-180397,ACC-350101,943618.53,Mobile Banking,Mumbai,DEV-5E324F,0,34.11
2026-07-09T18:35:42.866243,TX-FAD11AD1,ACC-325680,ACC-224248,419978.87,UPI,Pune,DEV-F24D9A,0,16.22
2026-07-05T15:15:42.866243,TX-F9DC29CA,ACC-800327,ACC-294311,311676.96,NEFT,Delhi,DEV-D96A7C,0,23.55
2026-07-08T13:34:42.866243,TX-D535C618,ACC-740839,ACC-418085,487097.19,ATM,Hyderabad,DEV-E5E9E5,0,11.45
2026-07-07T01:19:42.866243,TX-5264EE7F,ACC-173657,ACC-446016,492744.17,UPI,Mumbai,DEV-22AA09,0,6.2
2026-07-08T03:25:42.866243,TX-A30E0740,ACC-339289,ACC-606610,609672.34,Credit Card,Bengaluru,DEV-83A0EC,0,33.79
2026-07-08T15:47:42.866243,TX-228F5349,ACC-342541,ACC-747439,266204.47,UPI,Bengaluru,DEV-F13A56,0,5.61
2026-07-05T11:53:42.866243,TX-5A37F177,ACC-818299,ACC-808333,151723.76,Credit Card,Hyderabad,DEV-F7D717,0,22.68
2026-07-09T07:59:42.866243,TX-7ACCB6E8,ACC-408336,ACC-718432,331752.45,RTGS,Delhi,DEV-C52D87,0,26.99
2026-07-08T18:51:42.866243,TX-957CA29C,ACC-209400,ACC-533901,726794.73,ATM,Singapore,DEV-686EED,0,73.15
2026-07-07T12:26:42.866243,TX-01EA0307,ACC-690230,ACC-409980,926456.82,Credit Card,London,DEV-A6D517,0,86.08
2026-07-11T10:40:42.866243,TX-62FEB9AD,ACC-686868,ACC-316492,531328.44,IMPS,London,DEV-71DDB2,0,27.45
2026-07-05T03:30:42.866243,TX-57962846,ACC-461102,ACC-396497,865168.71,ATM,Singapore,DEV-04CEEA,0,31.64
2026-07-07T12:23:42.866243,TX-D538AD76,ACC-593598,ACC-950048,733891.74,NEFT,Singapore,DEV-0F8DED,0,9.6
2026-07-09T12:46:42.866243,TX-04BA10CF,ACC-561661,ACC-968612,542829.3,Internet Banking,Hyderabad,DEV-80F430,0,7.75
2026-07-09T10:13:42.866243,TX-4CE3F67C,ACC-948753,ACC-117504,644327.92,NEFT,Hyderabad,DEV-A4765C,0,32.94
2026-07-09T21:18:42.866243,TX-2F5ACC61,ACC-237384,ACC-562215,708468.74,Mobile Banking,Hyderabad,DEV-8DE18A,0,13.7
2026-07-09T14:54:42.866243,TX-B4DDB4AC,ACC-694611,ACC-928202,336625.84,Credit Card,Kolkata,DEV-17A659,0,34.24
2026-07-11T21:52:42.866243,TX-55051C89,ACC-953652,ACC-274955,868386.71,UPI,Pune,DEV-59D2C1,0,28.27
2026-07-09T08:00:42.866243,TX-6F9744A1,ACC-250747,ACC-323936,548451.12,RTGS,Mumbai,DEV-C2D7EF,0,24.36
2026-07-11T16:41:42.866243,TX-288D9C06,ACC-157696,ACC-743464,252132.86,ATM,Delhi,DEV-E2E948,0,23.93
2026-07-10T06:12:42.866243,TX-211ADF2C,ACC-177030,ACC-907266,180014.36,ATM,Mumbai,DEV-629FC8,0,18.07
2026-07-10T07:36:42.866243,TX-CC7F4454,ACC-307319,ACC-485829,708750.39,Credit Card,Singapore,DEV-30FBB5,0,68.34
2026-07-10T04:07:42.866243,TX-8F5FFDB7,ACC-910721,ACC-753574,577069.27,RTGS,New York,DEV-FF1EC7,0,28.85
2026-07-10T22:13:42.866243,TX-04E040E5,ACC-503375,ACC-153889,85033.12,Internet Banking,Pune,DEV-5135C4,0,6.98
2026-07-06T11:04:42.866243,TX-91172704,ACC-733090,ACC-453159,1736.14,RTGS,Mumbai,DEV-737672,0,21.54
2026-07-11T03:09:42.866243,TX-C95DFF30,ACC-894654,ACC-440790,123163.14,IMPS,Bengaluru,DEV-77C5D5,0,5.04
2026-07-07T11:41:42.866243,TX-20E5133A,ACC-574221,ACC-683922,719071.09,Credit Card,Singapore,DEV-49DD0F,0,72.01
2026-07-08T13:52:42.866243,TX-74E3B611,ACC-323202,ACC-589000,415928.44,ATM,Singapore,DEV-43D05A,0,6.46
2026-07-05T05:32:42.866243,TX-F8AAC06C,ACC-227514,ACC-763770,816327.1,ATM,Delhi,DEV-8E7FEB,0,19.18
2026-07-10T15:30:42.866243,TX-291E9982,ACC-459061,ACC-462066,629291.0,Credit Card,Bengaluru,DEV-6BED2B,0,31.82
2026-07-05T19:11:42.866243,TX-CC731B97,ACC-508632,ACC-506996,413806.48,Internet Banking,Mumbai,DEV-932148,0,8.49
2026-07-05T15:29:42.866243,TX-3469BE36,ACC-323752,ACC-303498,722453.07,ATM,Delhi,DEV-B8D150,0,18.63
2026-07-05T22:22:42.866243,TX-F694C2F9,ACC-143675,ACC-947225,575214.75,NEFT,London,DEV-9F5A51,0,77.15
2026-07-06T22:24:42.866243,TX-11BF85D2,ACC-819474,ACC-337652,18386.4,RTGS,Hyderabad,DEV-067EBB,0,14.04
2026-07-05T23:36:42.866243,TX-C854FFFF,ACC-930300,ACC-720859,764850.27,Internet Banking,Kolkata,DEV-8B8025,0,20.93
2026-07-11T05:33:42.866243,TX-01367193,ACC-669719,ACC-612509,102612.92,ATM,New York,DEV-C82AF2,0,30.04
2026-07-07T05:05:42.866243,TX-EBC3FE62,ACC-840123,ACC-265787,5034.28,IMPS,London,DEV-574014,0,13.8
2026-07-09T07:46:42.866243,TX-34E20DE9,ACC-120551,ACC-986687,201092.18,RTGS,Bengaluru,DEV-6984E7,0,15.27
2026-07-10T21:50:42.866243,TX-2225E3D7,ACC-944182,ACC-400423,577479.97,ATM,Pune,DEV-BE7FDA,0,20.43
2026-07-11T22:23:42.866243,TX-531DE2D5,ACC-454408,ACC-986382,825564.68,RTGS,Delhi,DEV-86CD35,0,18.57
2026-07-06T06:18:42.866243,TX-57903305,ACC-140808,ACC-698205,449566.29,UPI,London,DEV-0B8BE2,0,5.12
2026-07-07T15:36:42.866243,TX-53346465,ACC-358883,ACC-215359,541726.35,ATM,Mumbai,DEV-845100,0,30.24
2026-07-08T16:11:42.866243,TX-AEEE0655,ACC-112823,ACC-232961,236897.02,RTGS,Mumbai,DEV-8778E7,0,8.15
2026-07-07T12:05:42.866243,TX-0E0502BF,ACC-671190,ACC-315650,240173.42,RTGS,Bengaluru,DEV-30B887,0,18.1
2026-07-09T23:16:42.866243,TX-DBF56254,ACC-762174,ACC-473923,243612.54,Internet Banking,Mumbai,DEV-A17311,0,8.09
2026-07-06T08:45:42.866243,TX-FF95C057,ACC-108027,ACC-853323,471954.74,Internet Banking,London,DEV-F74615,0,16.27
2026-07-06T20:51:42.866243,TX-4B414249,ACC-453621,ACC-270321,295955.59,RTGS,Singapore,DEV-8C3AC7,0,23.81
2026-07-09T14:27:42.866243,TX-E0CDAEE6,ACC-511241,ACC-708110,461265.31,IMPS,Bengaluru,DEV-062F06,0,15.23
2026-07-07T20:59:42.866243,TX-E768B0C4,ACC-449182,ACC-173777,438890.11,UPI,Mumbai,DEV-39AA12,0,25.88
2026-07-07T10:37:42.866243,TX-EF2C6A8C,ACC-419908,ACC-261402,116720.09,ATM,London,DEV-031948,0,31.87
2026-07-11T08:48:42.866243,TX-AF090D3B,ACC-104512,ACC-985437,62159.64,UPI,New York,DEV-C15D80,0,33.66
2026-07-11T11:37:42.866243,TX-3FFB394F,ACC-517249,ACC-684830,359070.05,UPI,Delhi,DEV-A1037E,0,11.81
2026-07-08T12:43:42.866243,TX-A616CDDA,ACC-829435,ACC-891241,251275.91,RTGS,Bengaluru,DEV-06FA92,0,11.94
2026-07-10T21:46:42.866243,TX-59CF24C7,ACC-171145,ACC-180667,32934.56,RTGS,Hyderabad,DEV-077B97,0,24.09
2026-07-07T07:19:42.866243,TX-06922758,ACC-409040,ACC-737311,442188.09,UPI,Singapore,DEV-5847F8,0,25.05
2026-07-11T02:24:42.866243,TX-3F0E2607,ACC-379288,ACC-707153,258778.24,Internet Banking,Bengaluru,DEV-BBE0F0,0,14.0
2026-07-10T07:43:42.866243,TX-3EDC2A4F,ACC-990652,ACC-326138,61556.1,NEFT,Mumbai,DEV-37540B,0,34.42
2026-07-07T08:50:42.866243,TX-DA4EBC68,ACC-356683,ACC-676191,772249.3,NEFT,Kolkata,DEV-B296D2,0,7.71
2026-07-08T01:34:42.866243,TX-336A654F,ACC-627060,ACC-581265,620528.43,IMPS,Pune,DEV-76EB70,0,13.53
2026-07-11T03:13:42.866243,TX-D997FC9D,ACC-273189,ACC-144537,566645.28,Mobile Banking,Delhi,DEV-7D2D59,0,30.91
2026-07-06T09:20:42.866243,TX-2E87A231,ACC-593520,ACC-388419,901066.98,RTGS,Bengaluru,DEV-F63A1F,0,73.46
2026-07-09T23:10:42.866243,TX-B9CA0105,ACC-909484,ACC-656237,798147.85,NEFT,Bengaluru,DEV-F0FF1A,0,13.06
2026-07-11T01:51:42.866243,TX-A3F1B5CC,ACC-995522,ACC-123094,472354.64,ATM,Bengaluru,DEV-31A05C,0,27.67
2026-07-11T17:56:42.866243,TX-C2A608EE,ACC-389363,ACC-705294,729429.31,ATM,Kolkata,DEV-6CD87E,0,34.48
2026-07-11T16:09:42.866243,TX-41319D80,ACC-519200,ACC-405282,197350.2,Mobile Banking,Bengaluru,DEV-89CAD4,0,30.26
2026-07-07T08:56:42.866243,TX-5927DE0C,ACC-709375,ACC-129129,845544.5,ATM,Singapore,DEV-647FBC,0,20.26
2026-07-05T22:44:42.866243,TX-9D7EB325,ACC-388833,ACC-570127,47133.64,Mobile Banking,Bengaluru,DEV-DD55DD,0,9.54
2026-07-10T00:36:42.866243,TX-034647D6,ACC-936244,ACC-295074,474732.77,UPI,Bengaluru,DEV-72B061,0,33.56
2026-07-11T00:45:42.866243,TX-022BB1EE,ACC-415633,ACC-103414,992519.96,ATM,Singapore,DEV-F2F3C9,0,23.02
2026-07-10T15:21:42.866243,TX-D84AF44C,ACC-414592,ACC-874839,177663.71,RTGS,Bengaluru,DEV-86C48E,0,13.53
2026-07-06T12:03:42.866243,TX-27E80593,ACC-502433,ACC-859290,983117.39,NEFT,Bengaluru,DEV-0C8ED2,0,29.08
2026-07-11T04:00:42.866243,TX-B9F2358A,ACC-508695,ACC-806153,396473.6,Credit Card,Pune,DEV-5B74E4,0,16.56
2026-07-06T23:01:42.866243,TX-4E3EBFBC,ACC-759353,ACC-934499,993731.76,IMPS,Hyderabad,DEV-1ECB2E,0,8.84
2026-07-11T11:30:42.866243,TX-66530B34,ACC-821718,ACC-171080,285094.77,ATM,Delhi,DEV-3315C7,0,25.52
2026-07-05T19:22:42.866243,TX-19604ECD,ACC-826795,ACC-901050,950246.63,Internet Banking,Hyderabad,DEV-AA2EDA,0,18.74
2026-07-05T03:50:42.866243,TX-EBDB6C21,ACC-790874,ACC-141401,253649.49,ATM,London,DEV-7E17DC,0,22.38
2026-07-05T07:28:42.866243,TX-E1BC9BE3,ACC-570148,ACC-179970,61138.12,RTGS,Pune,DEV-94E0B7,0,22.0
2026-07-05T15:57:42.866243,TX-2F4292A4,ACC-962621,ACC-119193,633831.3,RTGS,Pune,DEV-090F6A,0,6.51
2026-07-10T16:55:42.866243,TX-2ED2CE11,ACC-383594,ACC-611195,927248.94,Credit Card,Pune,DEV-E51E51,0,6.58
2026-07-07T18:33:42.866243,TX-3F80B2B2,ACC-842939,ACC-999561,473135.21,ATM,Bengaluru,DEV-C37583,0,20.97
2026-07-07T18:19:42.866243,TX-4E0DB945,ACC-781478,ACC-748174,446156.45,NEFT,Pune,DEV-A8B322,0,9.0
